ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10744,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies II","",Closed,124,118,0
10749,AAS,1020,101,Discussion,"0","Alexander Hyres","Tu 6:00PM - 6:50PM","New Cabell Hall 283","Introduction to African-American and African Studies II","",Closed,20,20,0
10748,AAS,1020,102,Discussion,"0","Alexander Hyres","Tu 5:00PM - 5:50PM","New Cabell Hall 407","Introduction to African-American and African Studies II","",Closed,20,20,0
10747,AAS,1020,103,Discussion,"0","Tyrabia Womble","We 5:00PM - 5:50PM","New Cabell Hall 485","Introduction to African-American and African Studies II","",Closed,25,20,0
10746,AAS,1020,104,Discussion,"0","Tyrabia Womble","We 7:00PM - 7:50PM","New Cabell Hall 107","Introduction to African-American and African Studies II","",Closed,20,20,0
10750,AAS,1020,105,Discussion,"0","Alexander Hyres","Tu 7:00PM - 7:50PM","New Cabell Hall 187","Introduction to African-American and African Studies II","",Open,18,20,0
10745,AAS,1020,106,Discussion,"0","Tyrabia Womble","We 6:00PM - 6:50PM","New Cabell Hall 115","Introduction to African-American and African Studies II","",Closed,21,20,0
13694,AAS,2224,001,Seminar,"3","Lisa Shutt","We 2:00PM - 4:30PM","Dell 1 105","Black Femininities and Masculinities in the US Media","",Closed,45,45,0
14121,AAS,2224,002,Seminar,"3","Lisa Shutt","Tu 2:00PM - 4:30PM","New Cabell Hall 338","Black Femininities and Masculinities in the US Media","",Open,23,25,0
20391,AAS,3200,001,Seminar,"3","Mark Hadley","TuTh 9:30AM - 10:45AM","Gibson Hall 142","Martin, Malcolm and America","",Closed,9,9,0
20405,AAS,3500,001,Seminar,"3","Telisha Bailey","Tu 6:00PM - 8:30PM","New Cabell Hall 107","Intermediate Seminar in African-American & African Studies","Readings in Black Feminism",Closed,24,24,0
20406,AAS,3500,002,Seminar,"3","Julius Fleming","MoWe 2:00PM - 3:15PM","New Cabell Hall 107","Intermediate Seminar in African-American & African Studies","Art of Black Social Movements",Open,19,24,0
14613,AAS,3500,003,Seminar,"3","Talitha LeFlouria","We 3:30PM - 6:00PM","New Cabell Hall 323","Intermediate Seminar in African-American & African Studies","Slavery since Emancipation",Open,16,20,0
20412,AAS,3500,004,Seminar,"3","Marlene Daut","TuTh 9:30AM - 10:45AM","Wilson Hall 214","Intermediate Seminar in African-American & African Studies","Early Caribbean Writing",Open,6,15,0
15339,AAS,3500,005,Seminar,"3","Claudrena Harold","TuTh 11:00AM - 12:15PM","Wilson Hall 402","Intermediate Seminar in African-American & African Studies","Black Fire",Closed,58,40,0
20414,AAS,3500,006,Seminar,"3","Lisa Shutt","Th 3:30PM - 6:00PM","New Cabell Hall 232","Intermediate Seminar in African-American & African Studies","African American Foodways",Closed,18,16,0
15340,AAS,3500,007,Seminar,"3","Sabrina Pendergrass","TuTh 2:00PM - 3:15PM","New Cabell Hall 042","Intermediate Seminar in African-American & African Studies","Race, Culture and Inequality",Closed,15,15,0
20415,AAS,3500,008,Seminar,"3","Talitha LeFlouria","Th 3:30PM - 6:00PM","New Cabell Hall 283","Intermediate Seminar in African-American & African Studies","Black Women&Mass Incarceration",Closed,20,20,0
21564,AAS,3559,001,Seminar,"3","Elgin Cleckley","We 9:00AM - 11:30AM","Campbell Hall 220B","New Course in African and African American Studies","_Mpathic Design",Open,3,15,0
15336,AAS,3652,001,Seminar,"3","Andrew Kahrl","TuTh 12:30PM - 1:45PM","Gibson Hall 141","African American History since 1865","",Closed,15,15,0
10751,AAS,4080,001,Independent Study,"3","Claudrena Harold","TBA","TBA","Thesis","",Open,1,10,0
21563,AAS,4109,001,Seminar,"3","Aniko Bodroghkozy","TuTh 12:30PM - 1:45PM","Nau Hall 242","Civil Rights Movement and the Media","",Open,1,5,0
15341,AAS,4570,001,Seminar,"3","Edwin Otu","Mo 3:30PM - 6:00PM","New Cabell Hall 036","Advanced Research Seminar in African-American & African Studies","Queer Africas",Open,14,15,0
